image_path,class,class_id,source,image_hash,split
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_05926.jpg,crack,0,Structural,6a5e2221d12ee6c77eb6c7b6b092c6e7,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_01169.jpg,crack,0,Structural,31290593f798dd654e651253f666689a,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\370_jpg.rf.21887cb3a3dd255a24203856e0bfc75a.jpg,honeycomb,1,Structural,1bcf0ca041276c26d263db1031b37daa,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\1424_jpg.rf.ef0b672e34afa4680e9366346e4ab116.jpg,honeycomb,1,Structural,d470c66638a2037422170e412fdaa00c,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_03980.jpg,crack,0,Structural,9ead71ce02d02ca5d3e4c20351fead9c,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02199.jpg,crack,0,Structural,10870d8c156f2a6e3ca5f1c4cfb17d71,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\112_jpg.rf.79dfbe34af45541af5c0cf9408c339cb.jpg,honeycomb,1,Structural,0ee37a6e27c202a6d22c78808f12e3f7,train
c:\Users\dell\OneDrive\Desktop\IMAGES\ConViD — Concrete Visual Defect Dataset\Spalling\IMG_20251106_115146106.jpg,spalling,2,ConViD,33a119fb9d1f60ee867944aeefc04f21,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\DarbhangaVal_03267.jpg,crack,0,Structural,00b30ae24d29bc6405d8633823e6f680,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_05512.jpg,crack,0,Structural,1705fb1c25c1d129764fa56646bd926f,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\DarbhangaVal_03526.jpg,crack,0,Structural,d43bb610e6cafa8bd4db965f13120c31,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_00797.jpg,crack,0,Structural,cdee8c9ef91df068320adb815d783739,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02886.jpg,crack,0,Structural,9fa629348c603c74c3ce475d506dd70b,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_01295.jpg,crack,0,Structural,3d644118a89f4f758312a221fb4e163a,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_06283.jpg,crack,0,Structural,ff28b9504d7671aab89c400ec1e35417,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\SPALLING IMAGES AND LABELS\s_data_62_jpg.rf.f3dcfe0906071f10a9680a0f27e96e61.jpg,spalling,2,Structural,d5910fe74cd1bac58a41a7209cc2acf9,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_05311.jpg,crack,0,Structural,8cc610323db539da8d500d2146981a98,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\553_jpg.rf.61f3a0c40b1ad4a04035ca97b996767d.jpg,honeycomb,1,Structural,d8069d5fef536aadf072be47965d5647,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\800_jpg.rf.ef6c262e847d7ca6fa8e0ad2b5bfe68e.jpg,honeycomb,1,Structural,17fb111e41df31a8a545532cba7735a1,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_00450.jpg,crack,0,Structural,205c27e4f81a32c7ad8a606683f24a9b,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02680.jpg,crack,0,Structural,02aa32c8563b517fa0de411372899d7c,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02704.jpg,crack,0,Structural,0fe531aad501bacb5474de05db766127,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_05981.jpg,crack,0,Structural,5d769f7904f756bcd21d61d86321a513,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_01135.jpg,crack,0,Structural,9200044eb1acfd0ab0f9c21d98e49db1,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_05019.jpg,crack,0,Structural,cc7283b06cebfec0f2ee29227ba3e67b,train
c:\Users\dell\OneDrive\Desktop\IMAGES\ConViD — Concrete Visual Defect Dataset\crack\20251114_130427.jpg,crack,0,ConViD,9b202fb6903d12ff8142f3c7f226499f,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\DarbhangaVal_03647.jpg,crack,0,Structural,08081acf66d23b02dad5383f85d8540b,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Odisha_04991.jpg,crack,0,Structural,9e66ba4f680d19369cbd9bc334119a66,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02264.jpg,crack,0,Structural,f9f313acc981bff212ed10e30ba4ef9c,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\DarbhangaVal_03684.jpg,crack,0,Structural,c8b414edcf329b5f11b18feb44aebfb7,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\SPALLING IMAGES AND LABELS\s_data_156_jpg.rf.240d803a0cebd75c10b4a597533fb4d2.jpg,spalling,2,Structural,51feb188b404477f671a43b55ef3a329,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\OdishaVal_06788.jpg,crack,0,Structural,362301e3fb66f2da3c3abbabc2242c64,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\DarbhangaVal_03321.jpg,crack,0,Structural,47f957e022d5dd93b2925d92c4b8f241,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\HONEYCOMB IMAGES AND LABELS\97_jpg.rf.f336dcb03b03ace4187d2789b985b33a.jpg,honeycomb,1,Structural,0a3585f56552ac25a0fee9ab918581f6,train
c:\Users\dell\OneDrive\Desktop\IMAGES\STRUCTURAL_DEFECT_DATASET\03_ANNOTATED\CRACKS IMAGES AND LABELS\Darbhanga_02283.jpg,crack,0,Structural,b22be33b960cad483e37bb86d9a440a9,train
